season,position_group,passing_yards_min,passing_yards_max,passing_yards_p10,passing_yards_p25,passing_yards_p50,passing_yards_p75,passing_yards_p90,passing_tds_min,passing_tds_max,passing_tds_p10,passing_tds_p25,passing_tds_p50,passing_tds_p75,passing_tds_p90,interceptions_min,interceptions_max,interceptions_p10,interceptions_p25,interceptions_p50,interceptions_p75,interceptions_p90,rushing_yards_min,rushing_yards_max,rushing_yards_p10,rushing_yards_p25,rushing_yards_p50,rushing_yards_p75,rushing_yards_p90,rushing_tds_min,rushing_tds_max,rushing_tds_p10,rushing_tds_p25,rushing_tds_p50,rushing_tds_p75,rushing_tds_p90,receiving_yards_min,receiving_yards_max,receiving_yards_p10,receiving_yards_p25,receiving_yards_p50,receiving_yards_p75,receiving_yards_p90,receiving_tds_min,receiving_tds_max,receiving_tds_p10,receiving_tds_p25,receiving_tds_p50,receiving_tds_p75,receiving_tds_p90,fantasy_points_min,fantasy_points_max,fantasy_points_p10,fantasy_points_p25,fantasy_points_p50,fantasy_points_p75,fantasy_points_p90,fantasy_points_ppr_min,fantasy_points_ppr_max,fantasy_points_ppr_p10,fantasy_points_ppr_p25,fantasy_points_ppr_p50,fantasy_points_ppr_p75,fantasy_points_ppr_p90
2022,QB,0.0,5250.0,35.8,195.0,781.0,2536.0,3948.2000000000035,0.0,41.0,0.0,1.0,4.0,15.0,25.0,0.0,15.0,0.0,1.0,4.0,8.0,11.600000000000009,-5.0,1143.0,0.0,7.0,54.0,106.0,362.80000000000007,0.0,13.0,0.0,0.0,0.0,1.0,3.6000000000000085,-10.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-2.88,416.4,1.1440000000000001,12.46,47.699999999999996,174.24,286.72800000000007,-2.88,417.4,1.1440000000000001,12.46,47.699999999999996,174.24,287.12800000000004
2022,RB,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,1653.0,4.0,25.5,109.0,464.5,897.0,0.0,17.0,0.0,0.0,1.0,3.0,6.0,-1.0,722.0,0.0,11.0,60.0,165.0,295.0,0.0,9.0,0.0,0.0,0.0,1.0,2.0,0.0,275.3,1.8,7.5,28.4,85.0,154.7,0.0,372.7,3.1999999999999997,9.95,38.300000000000004,109.19999999999999,202.5
2022,SPEC,0.0,18.0,0.0,0.0,4.0,13.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,0.0,-5.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8,0.72,-0.9999999999999998,0.0,0.16,0.52,0.6880000000000001,-3.8,0.72,-0.9999999999999998,0.0,0.16,0.52,0.6880000000000001
2022,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,1338.0,8.100000000000001,45.25,129.5,354.25,518.8,0.0,12.0,0.0,0.0,1.0,2.0,4.0,-0.2,206.3,0.9200000000000003,5.949999999999999,19.9,50.625,79.95,0.0,316.3,3.1200000000000006,9.774999999999999,32.0,82.925,134.47000000000003
2022,WR,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-15.0,232.0,0.0,0.0,0.0,11.0,44.599999999999994,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1809.0,10.400000000000002,41.5,202.0,534.5,912.9999999999998,0.0,14.0,0.0,0.0,1.0,3.0,6.0,-0.6,240.66,1.3,4.8,28.2,71.4,123.39999999999999,0.0,368.66,2.7800000000000007,8.95,47.6,115.6,198.74
2023,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.5,6.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,9.0,23.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,6.0,0.26,0.7000000000000001,1.8,4.55,6.0,0.2,6.0,0.26,0.7000000000000001,2.8,5.05,6.0
2023,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,0.5,1.0,1.5,1.8,0.0,1.0,0.1,0.25,0.5,0.75,0.9,2.0,6.2,2.42,3.05,4.1,5.15,5.78,2.0,7.2,2.52,3.3,4.6,5.9,6.680000000000001
2023,LB,0.0,31.0,0.0,0.0,0.0,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.6000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.08000000000000002,0.2,0.6,1.54,4.216,0.0,6.0,0.08000000000000002,0.2,1.54,1.6,4.24
2023,OL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.8000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,0.8,1.5200000000000002,1.0,2.0,1.0,1.0,1.2,1.5499999999999998,1.82
2023,QB,0.0,4624.0,39.49999999999999,208.25,1005.0,2767.5,4041.2000000000003,0.0,36.0,0.0,1.0,4.5,15.0,25.900000000000006,0.0,21.0,0.0,1.0,4.0,8.0,11.900000000000006,-13.0,821.0,-1.9000000000000004,12.5,54.5,161.5,257.5,0.0,15.0,0.0,0.0,0.0,2.0,3.9000000000000057,-7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3,394.64,1.3579999999999997,12.455,67.15,174.2,274.056,-1.3,394.64,1.3579999999999997,12.455,67.15,174.95,274.924
